日期,價平買權次週每日結算價,價平買權近週每日結算價,價平賣權次週每日結算價,價平賣權近週每日結算價,價平買權近週報酬,價平賣權近週報酬,價平買權近週報酬(金額),價平賣權近週報酬(金額),訊號,策略損益(金額)
2020/10/16,,42.5,,143,-57.5,37,-2875,1850,1,-2875
2020/10/19,,85,,39,42.5,-104,2125,-5200,1,2125
2020/10/20,,46,40.5,40.5,-39,1.5,-1950,75,1,-1950
2020/10/21,134,10,82,0.1,-36,-40.4,-1800,-2020,1,-1800
2020/10/22,,146,,54,9,-31,450,-1550,1,450
2020/10/23,,126,,30,-20,-24,-1000,-1200,1,-1000
2020/10/26,,128,,16,2,-14,100,-700,1,100
2020/10/27,,80,,13,-48,-3,-2400,-150,1,-2400
2020/10/28,183,0.2,90,28.5,-79.8,15.5,-3990,775,1,-3990
2020/10/29,,101,,144,-85,51,-4250,2550,1,-4250
2020/10/30,,30.5,,251,-70.5,107,-3525,5350,1,-3525
2020/11/2,,38,,152,7.5,-99,375,-4950,1,375
2020/11/3,,86,,52,48,-100,2400,-5000,1,2400
2020/11/4,162,165,114,0.1,79,-51.9,3950,-2595,1,3950
2020/11/5,,140,,72,-25,-45,-1250,-2250,1,-1250
2020/11/6,,153,,48.5,13,-23.5,650,-1175,1,650
2020/11/9,,294,,4.8,141,-43.7,7050,-2185,1,7050
2020/11/10,,240,,2.3,-54,-2.5,-2700,-125,1,-2700
2020/11/11,127,399,116,0.3,159,-2,7950,-100,1,7950
2020/11/12,,91,,113,-39,-6,-1950,-300,1,-1950
2020/11/13,,105,,71,14,-42,700,-2100,1,700
2020/11/16,,334,,5,229,-66,11450,-3300,1,11450
2020/11/17,,375,,1.9,41,-3.1,2050,-155,1,2050
2020/11/18,132,510,99,0.2,135,-1.7,6750,-85,1,6750
2020/11/19,,139,,72,4,-30,200,-1500,1,200
2020/11/20,,121,,62,-18,-10,-900,-500,1,-900
2020/11/23,,212,,11.5,91,-50.5,4550,-2525,1,4550
