交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,漲跌價,漲跌%
2024/1/2,TXO,202401W1,17250,買權,595,595,595,595,1,-,-,55,-,635,330,,盤後,-50,-7.75%
2024/1/2,TXO,202401W1,17250,賣權,0.5,0.5,0.2,0.2,70,0.2,1242,0.2,0.4,78,0.2,,一般,-0.6,-75%
2024/1/2,TXO,202401W1,17250,賣權,1.2,1.2,0.9,0.9,28,-,-,0.7,1.1,78,0.6,,盤後,0.1,12.50%
2024/1/2,TXO,202401W1,17300,買權,585,585,585,585,1,530,37,520,540,595,225,,一般,-10,-1.68%
2024/1/2,TXO,202401W1,17300,買權,530,530,530,530,5,-,-,55,-,595,225,,盤後,-65,-10.92%
2024/1/2,TXO,202401W1,17300,賣權,0.3,0.7,0.2,0.4,214,0.4,2649,0.2,0.4,102,0.2,,一般,-0.7,-63.64%
2024/1/2,TXO,202401W1,17300,賣權,0.9,1.6,0.6,1,139,-,-,0.7,1,102,0.6,,盤後,-0.1,-9.09%
2024/1/2,TXO,202401W1,17350,買權,570,570,451,451,6,480,37,471,491,570,192,,一般,-94,-17.25%
2024/1/2,TXO,202401W1,17350,買權,540,540,481,481,8,-,-,14,560,560,192,,盤後,-64,-11.74%
2024/1/2,TXO,202401W1,17350,賣權,0.5,1.8,0.3,0.3,259,0.4,3340,0.2,0.4,145,0.3,,一般,-0.9,-75%
2024/1/2,TXO,202401W1,17350,賣權,1.1,1.9,1,1,273,-,-,1,1.1,145,1,,盤後,-0.2,-16.67%
2024/1/2,TXO,202401W1,17400,買權,500,500,399,399,8,430,119,421,441,520,166,,一般,-96,-19.39%
2024/1/2,TXO,202401W1,17400,買權,487,499,450,450,28,-,-,398,500,520,166,,盤後,-45,-9.09%
2024/1/2,TXO,202401W1,17400,賣權,1.6,1.6,0.3,0.4,668,0.4,6669,0.3,0.5,140,0.3,,一般,-1.2,-75%
2024/1/2,TXO,202401W1,17400,賣權,1.5,2.3,1.1,1.5,1000,-,-,1.4,1.7,140,1.1,,盤後,-0.1,-6.25%
2024/1/2,TXO,202401W1,17450,買權,472,472,435,435,2,380,86,371,391,472,132,,一般,-10,-2.25%
2024/1/2,TXO,202401W1,17450,買權,422,422,366,388,3,-,-,49,-,458,132,,盤後,-57,-12.81%
2024/1/2,TXO,202401W1,17450,賣權,0.2,1,0.2,0.4,1292,0.4,3801,0.3,0.5,150,0.2,,一般,-1.3,-76.47%
2024/1/2,TXO,202401W1,17450,賣權,1.6,2.7,1.2,2.2,874,-,-,1.5,2.4,150,1.2,,盤後,0.5,29.41%
2024/1/2,TXO,202401W1,17500,買權,410,410,301,335,163,335,581,322,341,410,116,,一般,-62,-15.62%
2024/1/2,TXO,202401W1,17500,買權,400,400,351,356,19,-,-,327,408,410,116,,盤後,-41,-10.33%
2024/1/2,TXO,202401W1,17500,賣權,1.3,1.4,0.6,0.7,4193,0.7,7485,0.5,0.8,185,0.6,,一般,-1.7,-70.83%
2024/1/2,TXO,202401W1,17500,賣權,2.4,5,1.9,3,1623,-,-,3,3.4,185,1.9,,盤後,0.6,25%
2024/1/2,TXO,202401W1,17550,買權,315,360,245,262,116,285,477,272,283,360,90,,一般,-88,-25.14%
2024/1/2,TXO,202401W1,17550,買權,321,321,272,272,4,-,-,180,362,360,90,,盤後,-78,-22.29%
2024/1/2,TXO,202401W1,17550,賣權,2,2.3,0.6,0.9,3191,0.9,5903,0.7,0.9,182,0.6,,一般,-2.7,-75%
2024/1/2,TXO,202401W1,17550,賣權,3.5,7,1.9,3.8,1593,-,-,3.7,4.1,182,1.9,,盤後,0.2,5.56%
2024/1/2,TXO,202401W1,17600,買權,276,339,195,236,572,236,527,226,234,339,72,,一般,-64,-21.33%
2024/1/2,TXO,202401W1,17600,買權,308,308,220,272,148,-,-,220,274,328,72,,盤後,-28,-9.33%
2024/1/2,TXO,202401W1,17600,賣權,4.6,4.6,0.9,1.1,11303,1.1,10595,1,1.3,246,0.9,,一般,-4.6,-80.70%
2024/1/2,TXO,202401W1,17600,賣權,5.1,10.5,2.5,7.3,3185,-,-,6.2,7.3,246,2.5,,盤後,1.6,28.07%
2024/1/2,TXO,202401W1,17650,買權,218,286,148,186,1819,186,825,179,185,286,60,,一般,-68,-26.77%
2024/1/2,TXO,202401W1,17650,買權,253,259,172,216,288,-,-,180,229,281,60,,盤後,-38,-14.96%
