交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,漲跌價,漲跌%
2023/03/01,TXO,202303W1,15350.0000,賣權,25,64,25,36,11292,-,-,35,36,178,10.5,,盤後,12.5,53.19%,
2023/03/01,TXO,202303W1,15400.0000,買權,44.5,194,20.5,194,31064,0,2353,193,194,325,20.5,,一般,4,2.11%,
2023/03/01,TXO,202303W1,15400.0000,買權,181,184,95,104,8750,-,-,100,104,325,89,,盤後,-86,-45.26%,
2023/03/01,TXO,202303W1,15400.0000,賣權,44.5,62,0.1,0.1,42234,0,13136,0.1,0.2,200,0.1,,一般,-32.9,-99.7%,
2023/03/01,TXO,202303W1,15400.0000,賣權,36,84,34,53,17805,-,-,49.5,55,200,15,,盤後,20,60.61%,
2023/03/01,TXO,202303W1,15450.0000,買權,23.5,144,8.1,144,45780,0,3849,143,144,282,8.1,,一般,-9,-5.88%,
2023/03/01,TXO,202303W1,15450.0000,買權,145,146,69,73,9756,-,-,71,75,282,69,,盤後,-80,-52.29%,
2023/03/01,TXO,202303W1,15450.0000,賣權,74,100,0.1,0.1,45750,0,12778,-,0.1,220,0.1,,一般,-45.9,-99.78%,
2023/03/01,TXO,202303W1,15450.0000,賣權,47.5,108,46.5,74,13833,-,-,72,76,220,20.5,,盤後,28,60.87%,
2023/03/01,TXO,202303W1,15500.0000,買權,6.7,94,2.2,93,61176,0,5780,93,94,240,2.2,,一般,-24,-20.51%,
2023/03/01,TXO,202303W1,15500.0000,買權,117,117,44.5,49,17541,-,-,49,49.5,240,44.5,,盤後,-68,-58.12%,
2023/03/01,TXO,202303W1,15500.0000,賣權,106,144,0.1,0.3,49495,0,12969,0.1,0.3,252,0.1,,一般,-60.7,-99.51%,
2023/03/01,TXO,202303W1,15500.0000,賣權,62,138,61,97,14765,-,-,96,98,252,28,,盤後,36,59.02%,
2023/03/01,TXO,202303W1,15550.0000,買權,2.1,45,0.6,43,67274,0,6763,43,43.5,200,0.6,,一般,-45,-51.14%,
2023/03/01,TXO,202303W1,15550.0000,買權,88,88,29,30.5,11931,-,-,30,30.5,200,29,,盤後,-57.5,-65.34%,
2023/03/01,TXO,202303W1,15550.0000,賣權,152,193,0.1,0.1,45360,0,13703,-,0.2,293,0.1,,一般,-80.9,-99.88%,
2023/03/01,TXO,202303W1,15550.0000,賣權,81,170,81,127,9913,-,-,119,133,293,39,,盤後,46,56.79%,
2023/03/01,TXO,202303W1,15600.0000,買權,1.5,6.9,0.1,0.2,36649,0,14236,-,0.2,200,0.1,,一般,-61.8,-99.68%,
2023/03/01,TXO,202303W1,15600.0000,買權,62,62,17,20,18183,-,-,19,20.5,200,17,,盤後,-42,-67.74%,
2023/03/01,TXO,202303W1,15600.0000,賣權,201,241,4.7,6,33674,0,5491,6,6.2,326,4.7,,一般,-100,-94.34%,
2023/03/01,TXO,202303W1,15600.0000,賣權,109,208,107,155,7816,-,-,154,167,326,52,,盤後,49,46.23%,
2023/03/01,TXO,202303W1,15650.0000,買權,0.6,0.9,0.1,0.1,5369,0,6476,-,0.3,150,0.1,,一般,-42.4,-99.76%,
2023/03/01,TXO,202303W1,15650.0000,買權,40,42,10.5,12.5,12017,-,-,12,13,150,10.5,,盤後,-30,-70.59%,
2023/03/01,TXO,202303W1,15650.0000,賣權,260,285,55,56,6317,0,1278,56,57,333,55,,一般,-81,-59.12%,
2023/03/01,TXO,202303W1,15650.0000,賣權,140,249,139,220,2443,-,-,190,220,333,69,,盤後,83,60.58%,
2023/03/01,TXO,202303W1,15700.0000,買權,0.5,0.7,0.1,0.1,4195,0,7325,-,0.3,118,0.1,,一般,-27.4,-99.64%,
2023/03/01,TXO,202303W1,15700.0000,買權,26.5,27.5,6,6.6,14113,-,-,6.6,7.8,118,6,,盤後,-20.9,-76%,
2023/03/01,TXO,202303W1,15700.0000,賣權,300,333,105,106,3210,0,1212,106,107,386,91,,一般,-65,-38.01%,
2023/03/01,TXO,202303W1,15700.0000,賣權,176,294,176,259,3012,-,-,248,259,386,91,,盤後,88,51.46%,
2023/03/01,TXO,202303W1,15750.0000,買權,0.4,0.4,0.1,0.3,5281,0,5824,0.1,0.3,98,0.1,,一般,-16.7,-98.24%,
2023/03/01,TXO,202303W1,15750.0000,買權,16.5,16.5,3.1,4.2,9613,-,-,3.6,4.5,98,3.1,,盤後,-12.8,-75.29%,
2023/03/01,TXO,202303W1,15750.0000,賣權,362,380,156,156,290,0,684,156,157,420,117,,一般,-54,-25.71%,
2023/03/01,TXO,202303W1,15750.0000,賣權,214,341,214,316,397,-,-,270,315,420,117,,盤後,106,50.48%,
2023/03/01,TXO,202303W1,15800.0000,買權,0.4,0.5,0.1,0.1,3653,0,7411,0.1,0.2,117,0.1,,一般,-10.4,-99.05%,
2023/03/01,TXO,202303W1,15800.0000,買權,10.5,10.5,1.8,2.5,7128,-,-,2.1,2.5,117,1.8,,盤後,-8,-76.19%,
2023/03/01,TXO,202303W1,15800.0000,賣權,418,440,207,207,212,0,599,206,207,461,147,,一般,-48,-18.82%,
2023/03/01,TXO,202303W1,15800.0000,賣權,263,388,261,370,541,-,-,300,370,461,147,,盤後,115,45.1%,
2023/03/01,TXO,202303W1,15850.0000,買權,0.1,0.3,0.1,0.2,1577,0,3912,0.1,0.3,64,0.1,,一般,-5.6,-96.55%,
2023/03/01,TXO,202303W1,15850.0000,買權,5.3,5.6,0.9,0.9,4075,-,-,0.9,1.4,64,0.9,,盤後,-4.9,-84.48%,
2023/03/01,TXO,202303W1,15850.0000,賣權,470,480,296,296,54,0,139,254,258,525,181,,一般,-9,-2.95%,
2023/03/01,TXO,202303W1,15850.0000,賣權,311,429,309,429,86,-,-,27.5,489,525,181,,盤後,124,40.66%,
2023/03/01,TXO,202303W1,15900.0000,買權,0.3,0.9,0.1,0.2,1520,0,4966,0.1,0.3,62,0.1,,一般,-3,-93.75%,
2023/03/01,TXO,202303W1,15900.0000,買權,3,3.2,0.4,1.1,3462,-,-,0.4,1.2,62,0.4,,盤後,-2.1,-65.63%,
2023/03/01,TXO,202303W1,15900.0000,賣權,515,530,355,355,10,0,73,301,311,565,222,,一般,5,1.43%,
2023/03/01,TXO,202303W1,15900.0000,賣權,361,484,356,461,53,-,-,300,505,565,222,,盤後,111,31.71%,
2023/03/01,TXO,202303W1,15950.0000,買權,0.1,0.5,0.1,0.1,209,0,2878,-,0.3,42.5,0.1,,一般,-1.7,-94.44%,
2023/03/01,TXO,202303W1,15950.0000,買權,1.7,1.7,0.2,0.3,1335,-,-,0.3,0.7,42.5,0.2,,盤後,-1.5,-83.33%,
2023/03/01,TXO,202303W1,15950.0000,賣權,580,580,494,494,3,0,140,351,361,605,263,,一般,94,23.5%,
2023/03/01,TXO,202303W1,15950.0000,賣權,407,520,407,520,66,-,-,113,-,605,263,,盤後,120,30%,
2023/03/01,TXO,202303W1,16000.0000,買權,0.1,0.3,0.1,0.1,362,0,5741,0.1,0.2,37,0.1,,一般,-1.2,-92.31%,
2023/03/01,TXO,202303W1,16000.0000,買權,1.2,1.2,0.4,0.5,2464,-,-,0.4,0.7,37,0.1,,盤後,-0.8,-61.54%,
2023/03/01,TXO,202303W1,16000.0000,賣權,630,630,414,414,4,0,44,401,411,630,307,,一般,-31,-6.97%,
2023/03/01,TXO,202303W1,16000.0000,賣權,463,570,463,560,9,-,-,137,-,600,307,,盤後,115,25.84%,
2023/03/01,TXO,202303W1,16050.0000,買權,0.4,0.4,0.1,0.2,62,0,2628,0.1,0.3,29,0.1,,一般,-0.6,-75%,
2023/03/01,TXO,202303W1,16050.0000,買權,0.8,0.8,0.3,0.6,244,-,-,0.3,0.6,29,0.3,,盤後,-0.2,-25%,
2023/03/01,TXO,202303W1,16050.0000,賣權,-,-,-,-,0,0,5,-,-,-,-,,一般,-,-,
2023/03/01,TXO,202303W1,16050.0000,賣權,620,620,615,615,5,-,-,169,-,620,398,,盤後,120,24.24%,
2023/03/01,TXO,202303W1,16100.0000,買權,0.9,0.9,0.1,0.2,37,0,3222,0.1,0.3,18.5,0.1,,一般,-0.4,-66.67%,
2023/03/01,TXO,202303W1,16100.0000,買權,0.1,0.6,0.1,0.5,200,-,-,0.3,0.6,18.5,0.1,,盤後,-0.1,-16.67%,
2023/03/01,TXO,202303W1,16100.0000,賣權,715,720,700,720,6,0,8,500,515,770,410,,一般,175,32.11%,
2023/03/01,TXO,202303W1,16100.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W1,16200.0000,買權,0.5,0.5,0.1,0.1,17,0,1819,-,0.5,35,0.1,,一般,-0.3,-75%,
2023/03/01,TXO,202303W1,16200.0000,買權,0.1,0.7,0.1,0.4,221,-,-,0.1,0.4,35,0.1,,盤後,0,0.00%,
2023/03/01,TXO,202303W1,16200.0000,賣權,-,-,-,-,0,0,0,-,-,-,-,,一般,-,-,
2023/03/01,TXO,202303W1,16200.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W1,16300.0000,買權,0.2,0.2,0.2,0.2,1,0,310,-,0.9,25,0.1,,一般,0,0.00%,
2023/03/01,TXO,202303W1,16300.0000,買權,0.1,0.1,0.1,0.1,4,-,-,0.1,0.9,25,0.1,,盤後,-0.1,-50%,
2023/03/01,TXO,202303W1,16300.0000,賣權,-,-,-,-,0,0,0,-,-,-,-,,一般,-,-,
2023/03/01,TXO,202303W1,16300.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W1,16400.0000,買權,-,-,-,-,0,0,356,-,-,-,-,,一般,-,-,
2023/03/01,TXO,202303W1,16400.0000,買權,0.5,0.5,0.5,0.5,1,-,-,-,0.7,8,0.1,,盤後,0.3,150%,
2023/03/01,TXO,202303W1,16400.0000,賣權,-,-,-,-,0,0,0,-,-,-,-,,一般,-,-,
2023/03/01,TXO,202303W1,16400.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W1,16500.0000,買權,-,-,-,-,0,0,45,-,-,-,-,,一般,-,-,
2023/03/01,TXO,202303W1,16500.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W1,16500.0000,賣權,-,-,-,-,0,0,0,-,-,-,-,,一般,-,-,
2023/03/01,TXO,202303W1,16500.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W1,16600.0000,買權,-,-,-,-,0,0,196,-,-,-,-,,一般,-,-,
2023/03/01,TXO,202303W1,16600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W1,16600.0000,賣權,-,-,-,-,0,0,0,-,-,-,-,,一般,-,-,
2023/03/01,TXO,202303W1,16600.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W1,16700.0000,買權,-,-,-,-,0,0,103,-,-,-,-,,一般,-,-,
2023/03/01,TXO,202303W1,16700.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W1,16700.0000,賣權,-,-,-,-,0,0,0,-,-,-,-,,一般,-,-,
2023/03/01,TXO,202303W1,16700.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W1,16800.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,-,-,
2023/03/01,TXO,202303W1,16800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W1,16800.0000,賣權,-,-,-,-,0,0,0,-,-,-,-,,一般,-,-,
2023/03/01,TXO,202303W1,16800.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W1,16900.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,-,-,
2023/03/01,TXO,202303W1,16900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W1,16900.0000,賣權,-,-,-,-,0,0,0,-,-,-,-,,一般,-,-,
2023/03/01,TXO,202303W1,16900.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W1,17000.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,-,-,
2023/03/01,TXO,202303W1,17000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W1,17000.0000,賣權,-,-,-,-,0,0,0,-,-,-,-,,一般,-,-,
2023/03/01,TXO,202303W1,17000.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W1,17100.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,-,-,
2023/03/01,TXO,202303W1,17100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W1,17100.0000,賣權,-,-,-,-,0,0,0,-,-,-,-,,一般,-,-,
2023/03/01,TXO,202303W1,17100.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W1,17200.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,-,-,
2023/03/01,TXO,202303W1,17200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W1,17200.0000,賣權,-,-,-,-,0,0,0,-,-,-,-,,一般,-,-,
2023/03/01,TXO,202303W1,17200.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W1,17300.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,-,-,
2023/03/01,TXO,202303W1,17300.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W1,17300.0000,賣權,-,-,-,-,0,0,0,-,-,-,-,,一般,-,-,
2023/03/01,TXO,202303W1,17300.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W2,13800.0000,買權,-,-,-,-,0,1760,0,-,-,-,-,,一般,-,-,
2023/03/01,TXO,202303W2,13800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W2,13800.0000,賣權,0.8,0.8,0.8,0.8,12,0.5,12,0.2,0.7,1,0.8,,一般,0.7,-,
2023/03/01,TXO,202303W2,13800.0000,賣權,1,1,1,1,1,-,-,1,1.6,1,1,,盤後,0.9,-,
2023/03/01,TXO,202303W2,13900.0000,買權,-,-,-,-,0,1660,0,-,-,-,-,,一般,-,-,
2023/03/01,TXO,202303W2,13900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W2,13900.0000,賣權,-,-,-,-,0,0.6,0,-,-,-,-,,一般,-,-,
2023/03/01,TXO,202303W2,13900.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W2,14000.0000,買權,-,-,-,-,0,1560,0,-,-,-,-,,一般,-,-,
2023/03/01,TXO,202303W2,14000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W2,14000.0000,賣權,1.7,1.7,1,1,19,0.7,42,-,0.9,3,1,,一般,0,0.00%,
2023/03/01,TXO,202303W2,14000.0000,賣權,1,1.8,1,1.8,3,-,-,1.5,4.9,3,1,,盤後,0.8,80%,
2023/03/01,TXO,202303W2,14100.0000,買權,-,-,-,-,0,1460,0,-,-,-,-,,一般,-,-,
2023/03/01,TXO,202303W2,14100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W2,14100.0000,賣權,1.2,1.2,1.2,1.2,8,0.8,16,-,1,3.8,1.2,,一般,0,0.00%,
2023/03/01,TXO,202303W2,14100.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W2,14200.0000,買權,-,-,-,-,0,1360,0,-,-,-,-,,一般,-,-,
2023/03/01,TXO,202303W2,14200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W2,14200.0000,賣權,1.3,1.6,1,1,130,1,122,0.1,1,5.5,1,,一般,-0.4,-28.57%,
2023/03/01,TXO,202303W2,14200.0000,賣權,2.8,3,2.8,3,3,-,-,2.2,7.9,5.5,1.6,,盤後,1.6,114.29%,
2023/03/01,TXO,202303W2,14300.0000,買權,-,-,-,-,0,1260,0,-,-,-,-,,一般,-,-,
2023/03/01,TXO,202303W2,14300.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/03/01,TXO,202303W2,14300.0000,賣權,1.7,2.1,0.9,1.2,281,1.2,374,0.1,1.3,7.4,0.9,,一般,-0.3,-20%,
